canonical_name
ilex asprella
ilex guayusa
ilex paraguariensis
indole-3-carbinol
inonotus obliquus
inositol
inositolnikotinat
ipomoea aquatica
ipomoea batatas
ipomoea hederacea
irvingia gabonensis
islandslav
isoamylnitrit
isobutylnitrit
isoleucin
isopentylnitrit
ivy
jaagichlorella luteoviridis
jessenia bataua
johannes rt
juglans regia l
juniperus communis
justicia adhatoda
j rn rt
kala namak
kalciferol
kamomill
kattklo
kava-kava
kinakvanne
klebsiella aerogenes
koffein
kolekalciferol
kolinalfoscerat
korallticka
kreatin
kron rtskocka
kryddsalvia
kryddtimjan
kummin
l-theanine
l-alpha glycerylfosforylcholine
l-citrulline malate
l-fucose
lgd-4033
lablab purpureus
lactarius deliciosus
lactarius deterrimus
lactarius rufus
lactarius torminosus
lactarius trivialis
lactarius utilis
lacticaseibacillus casei
lacticaseibacillus paracasei
lacticaseibacillus rhamnosus
lactiplantibacillus pentosus
lactiplantibacillus plantarum
lactobacillus acidophilus
lactobacillus bulgaricus
lactobacillus delbrueckii
lactobacillus gasseri
lactobacillus helveticus
lactobacillus jensenii
lactococcus cremoris
lactococcus lactis
lactose derived from whey with degraded riboflavin
lactulose
lakritsrot
laktoflavin
laktokrom
lama glama
laminaria digitata
laminaria hyperborea
laminaria longicruris
lamium album nbsp l
lamium galaeobdolon l
lamium purpureum l
langermannia gigantea
lapacho
lathyrus japonicus nbsp willd
latilactobacillus curvatus
latilactobacillus sakei
laurus nobilis
lavandula officinalis
lavendel
lavendula angustifolia
leccinum aurantiacum
leccinum versipelle
leccinum vulpinum
lemna minor
lens culinaris medik
lentinula edodes
lepidium meyenii walp
leucin
leuconostoc mesenteroides
leuzea carthamoide
levilactobacillus brevis
ligandrol
ligusticum striatum
limnospira fusiformis
limnospira indica
limnospira maxima
limosilactobacillus vaginalis
linum usitatissimum
liposomal vitamin c
lippia citrodora
lippia triphylla
lithothamnion calcareum
litiumorotat
litsea cubeba
lucuma obovata
lupinus albus
lupinus angustifolius
lupinus luteus
lutein
lycium barbarum
lycopene
lysin
l kemalva
l kepassionsblomma
l kesilverax
macadamia intergrifolia
macrocystis pyrifera
macrodiscus lactiflorus
magnesium l-threonate
maitake
malabarn t
malpighia glabra
malpighia punicifolia
malus communis
malus sylvestris
malva sylvestris
manihot esculenta
manihot utilissima
manilkara achras
manilkara zapota
manilkara zapotilla
mariatistel
maskros
mastocarpus stellatus
matricaria recutita
mattram
medicago sativa
melanotan
melatonin
melissa officinalis
menadion
mentha aquatica
mentha piperita
